web-scraper-order,web-scraper-start-url,category,category-href,title,price,picture-src
"1523066034-81","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Tie- dye Tricolor Scarf","RM9.90",""
"1523066034-63","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","MG Winter Warm Animal Print Shawl Wrap Stole Neck Long Scarf(Orange)","RM36.10",""
"1523066034-59","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","2 PCS Unisex Winter Knit Hat and Neck Warmer Scarf Set Men Women Thick Knitted Skull Cap Beanie Hat Warm Scarf Black","RM23.00",""
"1523066034-61","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Multipurpose Elegant Design Twilly Scarfs (A2)","RM15.00",""
"1523066034-50","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","SoKaNo Trendz Korean Style Oriental Scarf- Green","RM26.90",""
"1523066034-60","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Amart Summer Women Beach Scarf Sun Protection Shawl Chiffon Cardigan Bikini Coverup","RM20.20",""
"1523066034-45","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","2018 New Arrival Square Silk Shawl Cashmere Pashima Hijab Scarf Printed,Brand Satin Shawl Cashmere Pashima Hijab Scarf Shawl 90*90cm Women Multicolor Floral Polyester Scarves For Spring,Winter,Autumn","RM16.00","https://my-test-11.slatic.net/p/7/2018-new-arrival-square-silk-shawl-cashmere-pashima-hijab-scarf-printedbrand-satin-shawl-cashmere-pashima-hijab-scarf-shawl-9090cm-women-multicolor-floral-polyester-scarves-for-springwinterautumn-4796-470467941-9daf17342847503daba4fb00a8ea22ef-catalog_233.jpg"
"1523066034-69","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Fashion Women's Autumn Winter Soft Warm Thermal Wool Casual Style Scarf Scarves Shawl Wraps","RM47.99",""
"1523066034-65","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Scarf Chiffon Colourful Fashion Accessory - Leopard","RM25.00",""
"1523066034-55","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","1pc Newest Cotton Blend Hip-hop Bandanas For Male Female Head Scarf Scarves Wristband hot selling","RM10.20",""
"1523066034-49","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","BUYINCIONS Winter Warm Women Men Wool Blend Geometric Scarf Wrap Scarf Shawl Stole","RM13.20",""
"1523066034-53","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Harry Potter Vouge House Cosplay Knit Wool Costume Scarf Wrap Gryffindor","RM19.79",""
"1523066034-52","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","SoKaNo Trendz Korean Style Oriental Scarf- Red","RM26.90",""
"1523066034-58","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Women Ladies Fashion Lattice Tassel Shawl Winter Warm Long Scarf  Black + Gray","RM23.00",""
"1523066034-76","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","LALANG Fashion Women Unisex Knitted Pullover Scarf Autumn Winter Solid Color Neck Warmer (Ginger)","RM16.39",""
"1523066034-47","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","YOUNIQ Handmade Ramie Cotton Fabric Scarf Wrap Shawl Women Scarves (Blush Pink)","RM21.00",""
